product_code,name,origin,made_in,quantity
DH-C123-1,Volley Ball (medium size),USA,China,10
DX-0023-2,Soccer Jersey (Blue),China,China,23
DX-9875-3,Jacket (Winter),Vietnam,Vietnam,32
DX-3434-1,Tennis Shoes (Large),Vietname,Vietname,111
EH-C123-1,Volley Ball (large size),USA,China,10
EX-0023-2,Soccer Jersey (Red),China,China,23
EX-9875-3,Jacket (Blue Color),Vietnam,Vietnam,32
EX-3434-1,Tennis Shoes (Medium),Vietname,Vietname,111
FH-C123-1,Volley Ball (small size),USA,China,10
FX-0023-2,Soccer Jersey (Yellow),China,China,23
FX-9875-3,Jacket (Light Grey Color),Vietnam,Vietnam,32
FX-3434-1,Tennis Shoes (Small),Vietname,Vietname,111
